Time,Latitiude,Longitude
1545484538,-50.0461,159.0270
1545484543,-49.9625,159.4930
1545484548,-49.8681,160.0035
1545484553,-49.7802,160.4659
1545484559,-49.6811,160.9724
1545484564,-49.5890,161.4309
1545484569,-49.4949,161.8876
1545484574,-49.3989,162.3424
1545484579,-49.2910,162.8406
1545484584,-49.1909,163.2914
1545484589,-49.0889,163.7403
1545484595,-48.9745,164.2319
1545484600,-48.8685,164.6767
1545484605,-48.7606,165.1196
1545484610,-48.6398,165.6043
1545484615,-48.5281,166.0429
1545484620,-48.4145,166.4794
1545484626,-48.2875,166.9572
1545484631,-48.1701,167.3895
1545484637,-48.0390,167.8625
1545484642,-47.9179,168.2903
1545484647,-47.7951,168.7161
1545484652,-47.6581,169.1819
1545484657,-47.5316,169.6031
1545484662,-47.4035,170.0222
1545484668,-47.2607,170.4808
1545484673,-47.1291,170.8953
1545484678,-46.9958,171.3077
1545484683,-46.8474,171.7589
1545484688,-46.7107,172.1668
1545484693,-46.5725,172.5724
1545484699,-46.4186,173.0161
1545484704,-46.2770,173.4171
1545484709,-46.1340,173.8160
1545484714,-45.9748,174.2521
1545484719,-45.8285,174.6464
1545484724,-45.6808,175.0385
1545484730,-45.5164,175.4673
1545484735,-45.3656,175.8548
1545484740,-45.2132,176.2402
1545484745,-45.0440,176.6614
1545484750,-44.8887,177.0422
1545484755,-44.7319,177.4208
1545484761,-44.5579,177.8348
1545484766,-44.3983,178.2087
1545484771,-44.2373,178.5806
1545484776,-44.0750,178.9502
1545484781,-43.8949,179.3545
1545484786,-43.7298,179.7197
1545484791,-43.5634,-179.9173
1545484797,-43.3789,-179.5203
1545484802,-43.2098,-179.1617
1545484807,-43.0395,-178.8051
1545484812,-42.8507,-178.4154
1545484817,-42.6778,-178.0632
1545484822,-42.5037,-177.7132
1545484827,-42.3285,-177.3652
1545484833,-42.1343,-176.9849
1545484838,-41.9566,-176.6412
1545484843,-41.7777,-176.2996
1545484849,-41.5796,-175.9262
1545484854,-41.3983,-175.5888
1545484859,-41.1976,-175.2200
1545484864,-41.0141,-174.8868
1545484869,-40.8294,-174.5556
1545484875,-40.6251,-174.1935
1545484880,-40.4382,-173.8664
1545484885,-40.2503,-173.5413
1545484890,-40.0425,-173.1858
1545484895,-39.8524,-172.8647
1545484900,-39.6613,-172.5454
1545484906,-39.4500,-172.1964
1545484911,-39.2569,-171.8811
1545484916,-39.0628,-171.5676
1545484921,-38.8482,-171.2249
1545484926,-38.6522,-170.9153
1545484931,-38.4551,-170.6074
1545484937,-38.2374,-170.2709
1545484942,-38.0384,-169.9668
1545484947,-37.8386,-169.6645
1545484952,-37.6379,-169.3639
1545484957,-37.4162,-169.0353
1545484962,-37.2137,-168.7384
1545484967,-37.0103,-168.4432
1545484973,-36.7857,-168.1204
1545484978,-36.5806,-167.8288
1545484983,-36.3747,-167.5388
1545484988,-36.1473,-167.2216
1545484993,-35.9397,-166.9351
1545484998,-35.7313,-166.6501
1545485004,-35.5012,-166.3385
1545485009,-35.2913,-166.0569
1545485014,-35.0806,-165.7768
1545485019,-34.8479,-165.4706
1545485024,-34.6357,-165.1938
1545485029,-34.4227,-164.9185
1545485035,-34.1876,-164.6174
1545485040,-33.9731,-164.3453
1545485045,-33.7579,-164.0746
1545485050,-33.5204,-163.7785
1545485055,-33.3038,-163.5109
1545485060,-33.0865,-163.2447
1545485066,-32.8686,-162.9800
1545485071,-32.6281,-162.6904
1545485076,-32.4088,-162.4285
1545485081,-32.1889,-162.1681
1545485087,-31.9462,-161.8831
1545485092,-31.7250,-161.6254
1545485097,-31.5032,-161.3692
1545485102,-31.2585,-161.0888
1545485107,-31.0355,-160.8352
1545485113,-30.7894,-160.5578
1545485118,-30.5651,-160.3069
1545485123,-30.3403,-160.0573
1545485128,-30.0923,-159.7842
1545485133,-29.8664,-159.5372
1545485138,-29.6398,-159.2913
1545485143,-29.4127,-159.0467
1545485149,-29.1624,-158.7790
1545485154,-28.9342,-158.5369
1545485159,-28.7055,-158.2959
1545485164,-28.4534,-158.0321
1545485169,-28.2236,-157.7935
1545485174,-27.9934,-157.5560
1545485180,-27.7396,-157.2961
1545485185,-27.5083,-157.0609
1545485190,-27.2766,-156.8268
1545485195,-27.0212,-156.5705
1545485200,-26.7886,-156.3386
1545485205,-26.5555,-156.1078
1545485211,-26.2985,-155.8550
1545485216,-26.0645,-155.6263
1545485221,-25.8300,-155.3985
1545485226,-25.5716,-155.1492
1545485231,-25.3363,-154.9235
1545485236,-25.1005,-154.6988
1545485242,-24.8407,-154.4527
1545485247,-24.6041,-154.2299
1545485252,-24.3671,-154.0081
1545485257,-24.1059,-153.7651
1545485262,-23.8681,-153.5452
1545485267,-23.6299,-153.3261
1545485273,-23.3674,-153.0861
1545485278,-23.1284,-152.8689
1545485283,-22.8891,-152.6524
1545485288,-22.6494,-152.4369
1545485294,-22.3853,-152.2007
1545485299,-22.1448,-151.9868
1545485304,-21.9041,-151.7738
1545485309,-21.6389,-151.5403
1545485314,-21.3974,-151.3289
1545485319,-21.1557,-151.1183
1545485325,-20.8894,-150.8875
1545485330,-20.6470,-150.6784
1545485335,-20.4043,-150.4701
1545485340,-20.1369,-150.2418
1545485345,-19.8936,-150.0349
1545485350,-19.6499,-149.8288
1545485356,-19.3816,-149.6028
1545485361,-19.1374,-149.3982
1545485366,-18.8928,-149.1941
1545485371,-18.6236,-148.9705
1545485376,-18.3785,-148.7678
1545485381,-18.1332,-148.5658
1545485387,-17.8630,-148.3443
1545485392,-17.6172,-148.1436
1545485397,-17.3710,-147.9435
1545485402,-17.0999,-147.7239
1545485407,-16.8532,-147.5250
1545485412,-16.6063,-147.3266
1545485417,-16.3592,-147.1289
1545485423,-16.0871,-146.9120
1545485428,-15.8395,-146.7154
1545485433,-15.5917,-146.5193
1545485438,-15.3189,-146.3042
1545485443,-15.0706,-146.1092
1545485449,-14.7974,-145.8953
1545485454,-14.5487,-145.7014
1545485459,-14.2749,-145.4886
1545485464,-14.0258,-145.2956
1545485469,-13.7765,-145.1031
1545485475,-13.5021,-144.8919
1545485480,-13.2525,-144.7004
1545485485,-13.0026,-144.5092
1545485490,-12.7525,-144.3186
1545485496,-12.4773,-144.1093
1545485501,-12.2270,-143.9195
1545485506,-11.9513,-143.7111
1545485511,-11.7006,-143.5221
1545485516,-11.4497,-143.3334
1545485522,-11.1735,-143.1264
1545485527,-10.9223,-142.9385
1545485532,-10.6710,-142.7510
1545485537,-10.3944,-142.5452
1545485542,-10.1428,-142.3584
1545485547,-9.8911,-142.1719
1545485553,-9.6140,-141.9671
1545485558,-9.3619,-141.7813
1545485563,-9.1098,-141.5958
1545485568,-8.8323,-141.3921
1545485573,-8.5800,-141.2072
1545485578,-8.3275,-141.0226
1545485584,-8.0496,-140.8198
1545485589,-7.7968,-140.6356
1545485594,-7.5440,-140.4518
1545485599,-7.2658,-140.2498
1545485604,-7.0128,-140.0665
1545485609,-6.7596,-139.8833
1545485615,-6.4811,-139.6821
1545485620,-6.2278,-139.4994
1545485625,-5.9744,-139.3169
1545485630,-5.6956,-139.1163
1545485635,-5.4420,-138.9342
1545485640,-5.1884,-138.7522
1545485646,-4.9094,-138.5522
1545485651,-4.6556,-138.3706
1545485656,-4.4018,-138.1891
1545485661,-4.1480,-138.0077
1545485666,-3.8687,-137.8084
1545485671,-3.6147,-137.6273
1545485676,-3.3606,-137.4463
1545485682,-3.0811,-137.2473
1545485687,-2.8270,-137.0666
1545485692,-2.5475,-136.8678
1545485697,-2.2933,-136.6872
1545485703,-2.0391,-136.5067
1545485708,-1.7594,-136.3082
1545485713,-1.5051,-136.1278
1545485718,-1.2509,-135.9474
1545485724,-0.9712,-135.7491
1545485729,-0.7169,-135.5688
1545485734,-0.4371,-135.3705
1545485739,-0.1827,-135.1902
1545485744,0.0716,-135.0100
1545485750,0.3514,-134.8117
1545485755,0.6057,-134.6314
1545487493,45.9485,-17.4441
1545487499,45.7717,-16.9697
1545487504,45.6228,-16.5767
1545487509,45.4723,-16.1860
1545487515,45.3051,-15.7588
1545487520,45.1516,-15.3727
1545487525,44.9966,-14.9887
1545487530,44.8245,-14.5690
1545487535,44.6666,-14.1897
1545487540,44.5072,-13.8126
1545487549,44.2332,-13.1766
1545487554,44.0702,-12.8054
1545487559,43.9058,-12.4363
1545487564,43.7401,-12.0694
1545487569,43.5564,-11.6683
1545487574,43.3880,-11.3059
1545487579,43.2183,-10.9456
1545487585,43.0302,-10.5518
1545487590,42.8579,-10.1959
1545487595,42.6844,-9.8422
1545487600,42.4921,-9.4556
1545487605,42.3160,-9.1062
1545487610,42.1387,-8.7590
1545487616,41.9424,-8.3794
1545487621,41.7626,-8.0364
1545487626,41.5818,-7.6955
1545487632,41.3815,-7.3228
1545487637,41.1983,-6.9862
1545487642,41.0140,-6.6515
1545487647,40.8099,-6.2857
1545487652,40.6233,-5.9552
1545487657,40.4357,-5.6267
1545487662,40.2470,-5.3001
1545487668,40.0382,-4.9432
1545487673,39.8474,-4.6207
1545487678,39.6363,-4.2681
1545487683,39.4433,-3.9496
1545487689,39.2299,-3.6015
1545487694,39.0154,-3.2556
1545487699,38.8193,-2.9431
1545487704,38.6224,-2.6324
1545487710,38.4046,-2.2928
1545487715,38.2057,-1.9859
1545487720,38.0058,-1.6808
1545487725,37.8050,-1.3775
1545487730,37.5832,-1.0459
1545487736,37.3400,-0.6866
1545487741,37.1363,-0.3891
1545487746,36.9319,-0.0932
1545487752,36.7060,0.2302
1545487757,36.4997,0.5225
1545487762,36.2926,0.8132
1545487767,36.0640,1.1309
1545487772,35.8552,1.4180
1545487777,35.6457,1.7036
1545487783,35.4144,2.0158
1545487788,35.2033,2.2980
1545487793,34.9914,2.5786
1545487798,34.7575,2.8854
1545487803,34.5440,3.1627
1545487809,34.3084,3.4661
1545487814,34.0935,3.7402
1545487819,33.8562,4.0401
1545487824,33.6398,4.3111
1545487829,33.4227,4.5806
1545487835,33.1832,4.8754
1545487840,32.9647,5.1419
1545487845,32.7455,5.4070
1545487850,32.5257,5.6707
1545487856,32.2832,5.9592
1545487861,32.0621,6.2199
1545487866,31.8403,6.4793
1545487871,31.5957,6.7631
1545487876,31.3727,7.0197
1545487881,31.1490,7.2750
1545487887,30.9024,7.5543
1545487892,30.6776,7.8068
1545487897,30.4522,8.0581
1545487902,30.2036,8.3330
1545487907,29.9770,8.5817
1545487912,29.7498,8.8291
1545487918,29.4994,9.0998
1545487923,29.2711,9.3447
1545487928,29.0423,9.5884
1545487933,28.7901,9.8550
1545487938,28.5602,10.0963
1545487943,28.3299,10.3364
1545487949,28.0759,10.5992
1545487954,27.8445,10.8370
1545487960,27.5662,11.1208
1545487965,27.3338,11.3561
1545487970,27.0775,11.6137
1545487975,26.8441,11.8467
1545487980,26.6103,12.0787
1545487985,26.3760,12.3097
1545487991,26.1178,12.5626
1545487996,25.8826,12.7914
1545488001,25.6469,13.0193
1545488006,25.3872,13.2688
1545488011,25.1507,13.4946
1545488016,24.9137,13.7195
1545488022,24.6526,13.9657
1545488027,24.4149,14.1886
1545488032,24.1768,14.4105
1545488037,23.9144,14.6536
1545488042,23.6754,14.8737
1545488047,23.4361,15.0929
1545488053,23.1964,15.3112
1545488058,22.9323,15.5504
1545488063,22.6919,15.7669
1545488068,22.4511,15.9826
1545488074,22.1858,16.2189
1545488079,21.9443,16.4329
1545488084,21.6782,16.6673
1545488089,21.4360,16.8796
1545488094,21.1935,17.0911
1545488100,20.9264,17.3229
1545488105,20.6832,17.5329
1545488110,20.4398,17.7421
1545488115,20.1960,17.9505
1545488120,19.9274,18.1790
1545488125,19.6831,18.3860
1545488130,19.4384,18.5923
1545488136,19.1689,18.8184
1545488141,18.9237,19.0232
1545488146,18.6536,19.2477
1545488151,18.4078,19.4511
1545488156,18.1617,19.6540
1545488162,17.8907,19.8763
1545488167,17.6441,20.0778
1545488172,17.3972,20.2787
1545488177,17.1501,20.4789
1545488182,16.8780,20.6985
1545488187,16.6304,20.8976
1545488192,16.3825,21.0961
1545488198,16.1096,21.3138
1545488203,15.8613,21.5112
1545488208,15.6128,21.7080
1545488213,15.3391,21.9238
1545488218,15.0901,22.1195
1545488223,14.8409,22.3147
1545488229,14.5666,22.5288
1545488234,14.3169,22.7230
1545488239,14.0672,22.9167
1545488244,13.7922,23.1291
1545488249,13.5420,23.3218
1545488254,13.2916,23.5140
1545488260,13.0160,23.7250
1545488265,12.7653,23.9163
1545488270,12.5144,24.1072
1545488276,12.2383,24.3167
1545488281,11.9871,24.5067
1545488286,11.7105,24.7152
1545488291,11.4590,24.9045
1545488296,11.2073,25.0933
1545488302,10.9303,25.3006
1545488307,10.6782,25.4887
1545488312,10.4260,25.6764
1545488317,10.1738,25.8638
1545488322,9.8962,26.0695
1545488327,9.6436,26.2563
1545488332,9.3909,26.4426
1545488338,9.1129,26.6473
1545488343,8.8600,26.8331
1545488348,8.6070,27.0185
1545488353,8.3285,27.2222
1545488358,8.0753,27.4071
1545488363,7.8220,27.5917
1545488369,7.5432,27.7945
1545488374,7.2897,27.9786
1545488379,7.0361,28.1625
1545488384,6.7570,28.3645
1545488389,6.5032,28.5479
1545488394,6.2493,28.7311
1545488399,5.9953,28.9142
1545488405,5.7158,29.1153
1545488410,5.4617,29.2979
1545488415,5.2075,29.4803
1545488420,4.9278,29.6808
1545488425,4.6735,29.8629
1545488430,4.4191,30.0449
1545488436,4.1393,30.2449
1545488441,3.8848,30.4265
1545488446,3.6303,30.6081
1545488451,3.3503,30.8076
1545488456,3.0956,30.9889
1545488462,2.8156,31.1882
1545488467,2.5609,31.3693
1545488472,2.3062,31.5503
1545488477,2.0260,31.7494
1545488483,1.7712,31.9302
1545488488,1.5165,32.1110
1545488493,1.2362,32.3099
1545488498,0.9814,32.4906
1545488503,0.7266,32.6713
1545488509,0.4463,32.8700
1545488514,0.1915,33.0506
1545488519,-0.0633,33.2313
1545488524,-0.3182,33.4119
1545488529,-0.5984,33.6106
1545488534,-0.8532,33.7913
1545488539,-1.1080,33.9720
1545488545,-1.3883,34.1707
1545488550,-1.6430,34.3515
1545488555,-1.8978,34.5323
1545488560,-2.1781,34.7314
1545488565,-2.4327,34.9123
1545488570,-2.6874,35.0933
1545488576,-2.9674,35.2926
1545488581,-3.2220,35.4737
1545488586,-3.4765,35.6550
1545488591,-3.7564,35.8546
1545488596,-4.0109,36.0362
1545488601,-4.2652,36.2178
1545488606,-4.5196,36.3996
1545488612,-4.7993,36.5998
1545488617,-5.0534,36.7819
1545488622,-5.3329,36.9823
1545488627,-5.5870,37.1648
1545488633,-5.8664,37.3657
1545488638,-6.1202,37.5485
1545488643,-6.3741,37.7315
1545488648,-6.6532,37.9331
1545488653,-6.9068,38.1165
1545488658,-7.1603,38.3001
1545488663,-7.4137,38.4840
1545488669,-7.6924,38.6865
1545488674,-7.9457,38.8709
1545488679,-8.1988,39.0556
1545488684,-8.4772,39.2590
1545488689,-8.7301,39.4442
1545488695,-8.9829,39.6296
1545488700,-9.2608,39.8340
1545488705,-9.5133,40.0200
1545488710,-9.7657,40.2064
1545488716,-10.0432,40.4118
1545490042,-50.7897,130.5782
1545490047,-50.7278,131.0599
1545490052,-50.6572,131.5880
1545490057,-50.5908,132.0668
1545490062,-50.5223,132.5441
1545490067,-50.4516,133.0199
1545490073,-50.3715,133.5416
1545490078,-50.2964,134.0143
1545490083,-50.2193,134.4852
1545490088,-50.1320,135.0015
1545490093,-50.0505,135.4692
1545490098,-49.9669,135.9352
1545490104,-49.8727,136.4457
1545490109,-49.7849,136.9080
1545490114,-49.6860,137.4146
1545490119,-49.5940,137.8731
1545490124,-49.5001,138.3299
1545490130,-49.3944,138.8302
